Instance,Terminal,Layer,X location,Y location,Voltage
input13,VGND,li1,72.4500,38.0800,0.000309
input12,VGND,li1,59.1100,10.8800,0.000050
input11,VGND,li1,55.8900,10.8800,0.000046
input10,VGND,li1,62.3300,16.3200,0.000156
input9,VGND,li1,72.4500,32.6400,0.000436
input8,VGND,li1,34.2700,10.8800,0.000023
input7,VGND,li1,32.8900,10.8800,0.000023
input6,VGND,li1,38.8700,16.3200,0.000097
input5,VGND,li1,52.2100,10.8800,0.000044
input4,VGND,li1,72.4500,54.4000,0.000253
input3,VGND,li1,71.0700,54.4000,0.000251
input2,VGND,li1,28.5200,76.1600,0.000117
input1,VGND,li1,65.5500,32.6400,0.000434
TAP_TAPCELL_ROW_24_116,VGND,li1,70.1500,76.4510,0.000247
TAP_TAPCELL_ROW_24_115,VGND,li1,57.2700,76.4510,0.000223
TAP_TAPCELL_ROW_24_114,VGND,li1,44.3900,76.4510,0.000196
TAP_TAPCELL_ROW_24_113,VGND,li1,31.5100,76.4510,0.000135
TAP_TAPCELL_ROW_24_112,VGND,li1,18.6300,76.4510,0.000108
TAP_TAPCELL_ROW_23_111,VGND,li1,57.2700,75.8680,0.000223
TAP_TAPCELL_ROW_23_110,VGND,li1,31.5100,75.8680,0.000135
TAP_TAPCELL_ROW_22_109,VGND,li1,70.1500,71.0110,0.000330
TAP_TAPCELL_ROW_22_108,VGND,li1,44.3900,71.0110,0.000247
TAP_TAPCELL_ROW_22_107,VGND,li1,18.6300,71.0110,0.000142
TAP_TAPCELL_ROW_21_106,VGND,li1,57.2700,70.4280,0.000299
TAP_TAPCELL_ROW_21_105,VGND,li1,31.5100,70.4280,0.000161
TAP_TAPCELL_ROW_20_104,VGND,li1,70.1500,65.5710,0.000284
TAP_TAPCELL_ROW_20_103,VGND,li1,44.3900,65.5710,0.000217
TAP_TAPCELL_ROW_20_102,VGND,li1,18.6300,65.5710,0.000130
TAP_TAPCELL_ROW_19_101,VGND,li1,57.2700,64.9880,0.000254
TAP_TAPCELL_ROW_19_100,VGND,li1,31.5100,64.9880,0.000144
TAP_TAPCELL_ROW_18_99,VGND,li1,70.1500,60.1310,0.000441
TAP_TAPCELL_ROW_18_98,VGND,li1,44.3900,60.1310,0.000347
TAP_TAPCELL_ROW_18_97,VGND,li1,18.6300,60.1310,0.000218
TAP_TAPCELL_ROW_17_96,VGND,li1,57.2700,59.5480,0.000411
TAP_TAPCELL_ROW_17_95,VGND,li1,31.5100,59.5480,0.000238
TAP_TAPCELL_ROW_16_94,VGND,li1,70.1500,54.6910,0.000251
TAP_TAPCELL_ROW_16_93,VGND,li1,44.3900,54.6910,0.000177
TAP_TAPCELL_ROW_16_92,VGND,li1,18.6300,54.6910,0.000102
TAP_TAPCELL_ROW_15_91,VGND,li1,57.2700,54.1080,0.000225
TAP_TAPCELL_ROW_15_90,VGND,li1,31.5100,54.1080,0.000122
TAP_TAPCELL_ROW_14_89,VGND,li1,70.1500,49.2510,0.000267
TAP_TAPCELL_ROW_14_88,VGND,li1,44.3900,49.2510,0.000183
TAP_TAPCELL_ROW_14_87,VGND,li1,18.6300,49.2510,0.000088
TAP_TAPCELL_ROW_13_86,VGND,li1,57.2700,48.6680,0.000240
TAP_TAPCELL_ROW_13_85,VGND,li1,31.5100,48.6680,0.000120
TAP_TAPCELL_ROW_12_84,VGND,li1,70.1500,43.8110,0.000348
TAP_TAPCELL_ROW_12_83,VGND,li1,44.3900,43.8110,0.000289
TAP_TAPCELL_ROW_12_82,VGND,li1,18.6300,43.8110,0.000155
TAP_TAPCELL_ROW_11_81,VGND,li1,57.2700,43.2280,0.000323
TAP_TAPCELL_ROW_11_80,VGND,li1,31.5100,43.2280,0.000186
TAP_TAPCELL_ROW_10_79,VGND,li1,70.1500,38.3710,0.000309
TAP_TAPCELL_ROW_10_78,VGND,li1,44.3900,38.3710,0.000257
TAP_TAPCELL_ROW_10_77,VGND,li1,18.6300,38.3710,0.000137
TAP_TAPCELL_ROW_9_76,VGND,li1,57.2700,37.7880,0.000291
TAP_TAPCELL_ROW_9_75,VGND,li1,31.5100,37.7880,0.000169
TAP_TAPCELL_ROW_8_74,VGND,li1,70.1500,32.9310,0.000436
TAP_TAPCELL_ROW_8_73,VGND,li1,44.3900,32.9310,0.000379
TAP_TAPCELL_ROW_8_72,VGND,li1,18.6300,32.9310,0.000171
TAP_TAPCELL_ROW_7_71,VGND,li1,57.2700,32.3480,0.000425
TAP_TAPCELL_ROW_7_70,VGND,li1,31.5100,32.3480,0.000267
TAP_TAPCELL_ROW_6_69,VGND,li1,70.1500,27.4910,0.000287
TAP_TAPCELL_ROW_6_68,VGND,li1,44.3900,27.4910,0.000202
TAP_TAPCELL_ROW_6_67,VGND,li1,18.6300,27.4910,0.000071
TAP_TAPCELL_ROW_5_66,VGND,li1,57.2700,26.9080,0.000252
TAP_TAPCELL_ROW_5_65,VGND,li1,31.5100,26.9080,0.000104
TAP_TAPCELL_ROW_4_64,VGND,li1,70.1500,22.0510,0.000100
TAP_TAPCELL_ROW_4_63,VGND,li1,44.3900,22.0510,0.000075
TAP_TAPCELL_ROW_4_62,VGND,li1,18.6300,22.0510,0.000029
TAP_TAPCELL_ROW_3_61,VGND,li1,57.2700,21.4680,0.000092
TAP_TAPCELL_ROW_3_60,VGND,li1,31.5100,21.4680,0.000042
TAP_TAPCELL_ROW_2_59,VGND,li1,70.1500,16.6110,0.000162
TAP_TAPCELL_ROW_2_58,VGND,li1,44.3900,16.6110,0.000119
TAP_TAPCELL_ROW_2_57,VGND,li1,18.6300,16.6110,0.000045
TAP_TAPCELL_ROW_1_56,VGND,li1,57.2700,16.0280,0.000148
