Instance,Terminal,Layer,X location,Y location,Voltage
fanout43,VPWR,li1,72.2200,19.0400,1.799858
fanout42,VPWR,li1,71.7600,19.0400,1.799858
fanout41,VPWR,li1,71.3000,35.3600,1.799698
fanout40,VPWR,li1,71.7600,13.6000,1.799869
fanout39,VPWR,li1,34.5000,19.0400,1.799914
fanout38,VPWR,li1,46.0000,51.6800,1.799788
fanout37,VPWR,li1,71.7600,24.4800,1.799816
fanout36,VPWR,li1,50.1400,13.6000,1.799898
max_cap35,VPWR,li1,42.5500,46.2400,1.799758
max_cap34,VPWR,li1,35.4200,46.2400,1.799791
output33,VPWR,li1,72.2200,51.6800,1.799727
output32,VPWR,li1,72.2200,29.9200,1.799454
output31,VPWR,li1,7.8200,46.2400,1.799869
output30,VPWR,li1,72.2200,57.1200,1.799692
output29,VPWR,li1,72.2200,62.5600,1.799540
output28,VPWR,li1,72.2200,68.0000,1.799663
output27,VPWR,li1,72.2200,68.0000,1.799663
output26,VPWR,li1,47.8400,78.8800,1.799848
output25,VPWR,li1,62.1000,78.8800,1.799848
output24,VPWR,li1,60.2600,78.8800,1.799848
output23,VPWR,li1,37.2600,78.8800,1.799858
output22,VPWR,li1,23.9200,78.8800,1.799919
output21,VPWR,li1,26.6800,78.8800,1.799905
output20,VPWR,li1,30.3600,78.8800,1.799882
output19,VPWR,li1,40.0200,78.8800,1.799852
output18,VPWR,li1,7.8200,62.5600,1.799813
output17,VPWR,li1,7.8200,57.1200,1.799840
output16,VPWR,li1,43.2400,78.8800,1.799849
input15,VPWR,li1,66.9300,29.9200,1.799463
input14,VPWR,li1,72.4500,46.2400,1.799665
input13,VPWR,li1,72.4500,40.8000,1.799578
input12,VPWR,li1,59.1100,13.6000,1.799881
input11,VPWR,li1,55.8900,13.6000,1.799888
input10,VPWR,li1,62.3300,13.6000,1.799876
input9,VPWR,li1,72.4500,29.9200,1.799454
input8,VPWR,li1,34.2700,13.6000,1.799933
input7,VPWR,li1,32.8900,13.6000,1.799939
input6,VPWR,li1,38.8700,13.6000,1.799920
input5,VPWR,li1,52.2100,13.6000,1.799895
input4,VPWR,li1,72.4500,51.6800,1.799727
input3,VPWR,li1,71.0700,51.6800,1.799729
input2,VPWR,li1,28.5200,78.8800,1.799890
input1,VPWR,li1,65.5500,29.9200,1.799463
TAP_TAPCELL_ROW_24_116,VPWR,li1,70.1500,78.5730,1.799848
TAP_TAPCELL_ROW_24_115,VPWR,li1,57.2700,78.5730,1.799848
TAP_TAPCELL_ROW_24_114,VPWR,li1,44.3900,78.5730,1.799849
TAP_TAPCELL_ROW_24_113,VPWR,li1,31.5100,78.5730,1.799882
TAP_TAPCELL_ROW_24_112,VPWR,li1,18.6300,78.5730,1.799933
TAP_TAPCELL_ROW_23_111,VPWR,li1,57.2700,73.7460,1.799733
TAP_TAPCELL_ROW_23_110,VPWR,li1,31.5100,73.7460,1.799853
TAP_TAPCELL_ROW_22_109,VPWR,li1,70.1500,73.1330,1.799701
TAP_TAPCELL_ROW_22_108,VPWR,li1,44.3900,73.1330,1.799782
TAP_TAPCELL_ROW_22_107,VPWR,li1,18.6300,73.1330,1.799916
TAP_TAPCELL_ROW_21_106,VPWR,li1,57.2700,68.3060,1.799697
TAP_TAPCELL_ROW_21_105,VPWR,li1,31.5100,68.3060,1.799820
TAP_TAPCELL_ROW_20_104,VPWR,li1,70.1500,67.6930,1.799665
TAP_TAPCELL_ROW_20_103,VPWR,li1,44.3900,67.6930,1.799748
TAP_TAPCELL_ROW_20_102,VPWR,li1,18.6300,67.6930,1.799884
TAP_TAPCELL_ROW_19_101,VPWR,li1,57.2700,62.8660,1.799575
TAP_TAPCELL_ROW_19_100,VPWR,li1,31.5100,62.8660,1.799751
